id,_symbol,_company,_quantity,_sheesh
27,A,Agilent Technologies,0,0
28,AAL,American Airlines Group,0,0
29,ABNB,Airbnb,0,0
30,ABT,Abbott,0,0
31,ACGL,Arch Capital Group,0,0
32,ACN,Accenture,0,0
33,ADI,Analog Devices,0,0
34,ADM,Archer-Daniels-Midland,0,0
35,ADP,Automated Data Processing,0,0
36,ADSK,Autodesk,0,0
37,AEE,Ameren,0,0
38,AEP,American Electric Power,0,0
39,AES,AES Corporation,0,0
40,AFL,Aflac,0,0
41,AIG,American International Group,0,0
42,AIZ,Assurant,0,0
43,AJG,Arthur J. Gallagher & Co.,0,0
44,AKAM,Akamai,0,0
45,ALB,Albemarle Corporation,0,0
46,ALGN,Align Technology,0,0
47,ALL,Allstate,0,0
48,ALLE,Allegion,0,0
49,AMAT,Applied Materials,0,0
50,AMCR,Amcor,0,0
51,AMD,Advanced Micro Devices,0,0
52,AME,Ametek,0,0
53,AMGN,Amgen,0,0
54,AMP,Ameriprise Financial,0,0
55,AMT,American Tower,0,0
56,ANET,Arista Networks,0,0
57,ANSS,Ansys,0,0
58,AON,Aon,0,0
59,AOS,A. O. Smith,0,0
60,APA,APA Corporation,0,0
61,APD,Air Products and Chemicals,0,0
62,APH,Amphenol,0,0
63,APTV,Aptiv,0,0
64,ARE,Alexandria Real Estate Equities,0,0
65,ATO,Atmos Energy,0,0
66,AVB,AvalonBay Communities,0,0
67,AVY,Avery Dennison,0,0
68,AWK,American Water Works,0,0
69,AXON,Axon Enterprise,0,0
70,AXP,American Express,0,0
71,AZO,AutoZone,0,0
72,BA,Boeing,0,0
73,BAC,Bank of America,0,0
74,BALL,Ball Corporation,0,0
75,BAX,Baxter International,0,0
76,BBWI,"Bath & Body Works, Inc.",0,0
77,BBY,Best Buy,0,0
78,BDX,Becton Dickinson,0,0
79,BEN,Franklin Templeton,0,0
80,BF.B,Brown–Forman,0,0
81,BG,Bunge Global SA,0,0
82,BIIB,Biogen,0,0
83,BIO,Bio-Rad,0,0
84,BK,Bank of New York Mellon,0,0
85,BKNG,Booking Holdings,0,0
86,BKR,Baker Hughes,0,0
87,BLDR,Builders FirstSource,0,0
88,BLK,BlackRock,0,0
89,BMY,Bristol Myers Squibb,0,0
90,BR,Broadridge Financial Solutions,0,0
91,BRO,Brown & Brown,0,0
92,BSX,Boston Scientific,0,0
93,BWA,BorgWarner,0,0
94,BX,Blackstone,0,0
95,BXP,Boston Properties,0,0
96,C,Citigroup,0,0
97,CAG,Conagra Brands,0,0
98,CAH,Cardinal Health,0,0
99,CARR,Carrier Global,0,0
100,CAT,Caterpillar Inc.,0,0
101,CB,Chubb Limited,0,0
102,CBOE,Cboe Global Markets,0,0
103,CBRE,CBRE Group,0,0
104,CCI,Crown Castle,0,0
105,CCL,Carnival,0,0
106,CDNS,Cadence Design Systems,0,0
107,CDW,CDW,0,0
108,CE,Celanese,0,0
109,CEG,Constellation Energy,0,0
110,CF,CF Industries,0,0
111,CFG,Citizens Financial Group,0,0
112,CHD,Church & Dwight,0,0
113,CHRW,CH Robinson,0,0
114,CHTR,Charter Communications,0,0
115,CI,Cigna,0,0
116,CINF,Cincinnati Financial,0,0
117,CL,Colgate-Palmolive,0,0
118,CLX,Clorox,0,0
119,CMA,Comerica,0,0
120,CMCSA,Comcast,0,0
121,CME,CME Group,0,0
122,CMG,Chipotle Mexican Grill,0,0
123,CMI,Cummins,0,0
